article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
26733200001;Byredo;BYREDO BIBLIOTHEQUE;парфюмерная вода;Франция;45110;29772;https://goldapple.ru/26733200001-bibliotheque;201.6;Bibliotheque переносит Вас в комфортную зону традиционной библиотеки. Мир тихого созерцания, где время останавливается и чувства обостряются. Мягкий, сладкий аромат бархатистого персика и сливы пронизывает воздух, предшествуя звучанию сухого цветочного букета из пиона и фиалки с оттенком мускуса. А в самом конце, среди слоев кожи и ванили появляются ноты сухого пачули, вызывая воспоминания о любимом кресле и истертых страницах старинных книг в кожаных переплетах.;
7150900002;Clinique;CLINIQUE Happy Heart;парфюмерная вода;Швейцария;10100;5050;https://goldapple.ru/7150900002-happy-heart;192.96;CLINIQUE Happy Heart. Молодость, радость и любовь. Happy Heart - это новый взгляд на уже знакомые вещи. В его основе - яркая цветочная композиция, олицетворяющая счастье и оптимизм. Уверенность, молодость души и любовь в каждом движении - вот признаки, по которым распознается обладательница счастливого сердца! Аромат: Яркий цветочный. Стиль: романтичный. Элегантный. Утонченный. Ноты: мандарин, огурец, горный воздух, примула, гиацинт, цветочные аккорды, сандал.;
19760332189;Vilhelm Parfumerie;VILHELM PARFUMERIE MANGO SKIN;парфюмерная вода;Франция;13000;11050;https://goldapple.ru/19760332189-mango-skin;180.48;Откусив один кусочек, вы почувствуете манго в своих венах. Дикие краски, бескрайнее небо и безудержное счастье: захватывающая дух Южная Африка становится фоном для этого экспрессионистского взрыва ежевики, манго и чёрного перца. Спелый фрукт раскрывает свои сложные вкусы — коктейль из дикого ириса, чёрного лотоса и жасмина, оставляющий после себя ноты пачули, ванили и лёгкий оттенок розового сахара.;Наносите аромат на заднюю часть шеи, в зону декольте и на запястья с расстояния 10-15 см. Не рекомендуется растирать парфюмерную воду , так как это может нарушить правильный процесс раскрытия композиции.
19000257721;FOR ME by gold apple;FOR ME BY GOLD APPLE Imagine me;парфюмерная вода;Франция;2800;1960;https://goldapple.ru/19000257721-imagine-me;163.68;Мы давно мечтали создать продукт, который бы передавал твое настроение без слов. Парфюмерная коллекция FOR ME — это ароматы, с которыми ты можешь подчеркнуть то, что хочешь прямо сейчас. Парфюмерные композиции были произведены во Франции. IMAGINE ME — это история о том, что будет, если легкость, размеренность и свежесть раннего утра воплотить в аромате. Его открывают прозрачные ноты альдегидов, нежный цветок цикламена и запах только что постиранного хлопкового белья — такое сочетание создает ощущение приятной прохлады на рассвете. В сердце аромата слышны аккорды сочного плода инжира и пудровой фиалки. Бархатный деликатный шлейф добавляет композиции глубину и погружает в атмосферу гармонии — здесь можно разгадать благородную ноту акигалавуда, едва ощутимую сладость амброксана и легкость белого мускуса. Удобная travel-версия объемом 20 мл поместится даже в маленькую сумочку и позволит обновить аромат в любой момент: во время поездки, на работе или перед свиданием.;Распылите на кожу с расстояния 20–30 см.  Не подвергать воздействию прямых солнечных лучей.  Беречь от источников тепла, огня.
19000041894;Bon Parfumeur Paris;BON PARFUMEUR PARIS 702 – encens, lavande, bois de cachemire;парфюмерная вода;Франция;5547;4992;https://goldapple.ru/19000041894-702-encens-lavande-bois-de-cachemire;161.68;Ладан, лаванда, кашмеран – 3 характерные ноты аромата 702 от BON PARFUMEUR. Грани композиции переливаются, приглашая в мистическое путешествие от храмов Токио к парижскому собору Нотр-Дам. Путь начинается от таинственных нот ладана и лимона, дополненных ярким звучанием розового перца. Сочетание зелёного и пряного аккордов украшают цветочные ноты и тонкий, изысканный аромат лаванды с юга Франции. Ароматное путешествие завершают теплые ноты кашмерана, ванили, белого мускуса и перуанского бальзама. Одновременно традиционная и современная, сдержанная и дерзкая композиция – это гармония противоречий, которая понравится ценителям ароматов с яркой индивидуальностью. Верхние ноты: ладан, розовый перец, лимон. Ноты сердца: лаванда, кашмеран, кедр. Базовые ноты: перуанский бальзам, ваниль, белый мускус.;только для наружного применения.
19000200198;Neydo;NEYDO Wood haze 01.11;парфюмерная вода;Франция;6200;5580;https://goldapple.ru/19000200198-wood-haze-01-11;148.5;Сон Селин перенесет вас в мастерскую, где пахнет мореным деревом и старыми книгами. Ноты шафрана и мяты будоражат романтические воспоминания и наполняют теплом и творческой энергией. Аромат-вдохновение, благодаря которому так легко влюбиться или… создать шедевр! Celine, 01.11 Я стою на балконе и в задумчивости что-то вырезаю. Это как бездумно рисовать в блокноте, болтая по телефону, только вожу я не ручкой по бумаге, а ножом по дереву. Профессиональное. В доме напротив на точно таком же балконе мужчина поглощен чтением. Он не обращает на меня никакого внимания, поэтому я могу спокойно его рассмотреть. Черты его лица, наклон головы, движение рук кажутся мне знакомыми. Когда он переворачивает очередную страницу, я слышу шелест бумаги и чувствую запах старой книги.  В балконном проеме появляется босоногая женщина, ветер играет ее длинными волосами, а воздух наполняется ароматом янтаря, нагретого солнцем. Женщина протягивает мужчине чашку и нежно его целует. Когда он делает глоток, я ощущаю на губах вкус шафрана и мяты. Кинолентой мелькают страницы из дневника памяти. Я вспомнила! Мы познакомились лет пять назад на улице, где он продавал свои стихи, отпечатанные на пишущей машинке.  Помню наш первый поцелуй, как убегали от дождя на Бали и как, встав на одно колено, он преподнес мне шкатулку сандалового дерева… Вдруг я оказываюсь за его спиной. Опускаю взгляд и вижу свои босые ноги.  В моих руках его портрет, вырезанный на дереве. Страна происхождения товара может отличаться (Республика Корея/Франция).;Только для наружного применения.
19000009355;L'atelier parfum;L'ATELIER PARFUM DOUCE INSOMNIE;парфюмерная вода;Франция;8554;7698;https://goldapple.ru/19000009355-douce-insomnie;145.7;Вдохновением для создания чувственной и гипнотической композиции DOUCE INSOMNIE от L’ATELIER PARFUM стала чашка горячего капучино. Нежная молочная пена, бодрящая арабика, шоколадная крошка для украшения – каждая деталь отражена в этом насыщенном аромате. Благодаря пьянящему гелиотропу, ирису и древесным нотам кофейный аромат обретает изысканность и глубину. Гармония ароматного капучино, сандала, пробуждающего чувства, и цветочных нот отражает позднюю ночь, когда стирается грань между реальностью и сном. Парфюмер – Alexis Dadier.   Верхние ноты: цветок апельсина, розовый перец    Ноты сердца: капучино, жасмин, гелиотроп   Базовые ноты: ваниль, ирис, сандал, пачули;
7271200003;Kenzo;KENZO AMOUR;парфюмерная вода;Франция;7280;7280;https://goldapple.ru/7271200003-amour;143.08;Чувственный, мягкий, безмятежный аромат, вдохновлен впечатлениями любовного путешествия. Цветочно-древесный мускусный аромат с мягкими верхними нотами  белого чая, цветочным сердцем (цветы плюмерии, цветы вишни) и чувственным шлейфом (ваниль, белый мускус).;
7150100002;Clinique;CLINIQUE Happy;парфюмерная вода;Швейцария;10100;5050;https://goldapple.ru/7150100002-happy;136.16;Парфюмерная вода Clinique Happy — это шикарный букет из ярких цветочных ароматов, наполняющий носительницу весенним настроением, добавляющий жизненных сил. На верхних нотах парфюмерной воды красуются дерзкие грейпфрут с бергамотом, подходящие для смелых, экспериментальных девушек. Сердце Happy — это, в первую очередь, уникальный цветок мелати, деликатно дополненный орхидеей и ежевикой. Нижние ноты - максимально чувственные: гавайский свадебный цветок, белая лилия и мимоза, добавляющие приятной кислинки. Аромат Cliique очень уникальный, такой запах подойдет не каждой, но любая экстравагантная женщина точно оценит его по достоинству.;
19000035299;Mancera;MANCERA Intense Cedrat Boise;парфюмерная вода;Франция;27170;23094;https://goldapple.ru/19000035299-intense-cedrat-boise;122.36;Концентрированные духи Cedrat Boise представляют собой оригинальный взгляд на цитрусовые ноты, с акцентом на невероятную стойкость и яркий шлейф. На создание аромата парфюмера вдохновила атмосфера островов Средиземного моря – Крит, Корфу, Сицилия, Капри, Корсика. Композиция открывается смелым, пикантным взрывом черной смородины и цитрусовых. В чувственном сердце аромата стремительно раскрываются жасмин и пачули на базе из фруктовой свежести и медленно растворяются в роскошной базе из кедра, сандалового дерева, кожи, мускуса и дубового мха. Аромат, который стоит выбрать, если нужно выбрать только один.;Духи следует наносить в небольшом количестве, близко к коже (1-2 см), на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно несколько капель. Растирать духи не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.
